Column1;PC1;PC2;Unnamed: 0;Project;Treatment;Timepoint
109;6,310874182;-0,305551914;Intensity_1DLC012615QE_RRAG_009B_rep2;PXD012477;Non-Healthy;B
413;6,276959341;-0,657448894;Intensity_1DLC012615QE_RRAG_009B_rep3;PXD012477;Non-Healthy;B
311;6,616058765;-0,751283617;Intensity_1DLC012615QE_RRAG_009B_rep4;PXD012477;Non-Healthy;B
394;5,315222141;-0,356551281;Intensity_1DLC012615QE_RRAG_010B_rep1;PXD012477;Non-Healthy;B
224;5,530980082;-0,9568217;Intensity_1DLC012615QE_RRAG_010B_rep2;PXD012477;Non-Healthy;B
276;5,293147752;-0,904278979;Intensity_1DLC012615QE_RRAG_010B_rep3;PXD012477;Non-Healthy;B
432;5,667346058;-0,757289195;Intensity_1DLC012615QE_RRAG_010B_rep4;PXD012477;Non-Healthy;B
490;8,239427741;0,513557191;Intensity_1DLC012615QE_RRAG_012B_rep1;PXD012477;Non-Healthy;B
76;7,29811372;1,037681155;Intensity_1DLC012615QE_RRAG_012B_rep2;PXD012477;Non-Healthy;B
297;8,212505069;0,902639642;Intensity_1DLC012615QE_RRAG_012B_rep3;PXD012477;Non-Healthy;B
231;7,460730755;-0,746988129;Intensity_1DLC012615QE_RRAG_012B_rep4;PXD012477;Non-Healthy;B
263;6,799663174;-0,467244946;Intensity_1DLC012615QE_RRAG_013B_rep1;PXD012477;Healthy;B
307;6,535431569;-0,137432645;Intensity_1DLC012615QE_RRAG_013B_rep2;PXD012477;Healthy;B
420;6,70496763;-0,5847322;Intensity_1DLC012615QE_RRAG_013B_rep3;PXD012477;Healthy;B
331;6,666999574;-0,070748039;Intensity_1DLC012615QE_RRAG_013B_rep4;PXD012477;Healthy;B
455;6,651190024;-1,286318995;Intensity_1DLC012615QE_RRAG_014B_rep1;PXD012477;Healthy;B
236;6,886318478;-1,175990607;Intensity_1DLC012615QE_RRAG_014B_rep2;PXD012477;Healthy;B
250;7,145033981;-0,801877073;Intensity_1DLC012615QE_RRAG_014B_rep3;PXD012477;Healthy;B
51;7,077881241;-0,931938514;Intensity_1DLC012615QE_RRAG_014B_rep4;PXD012477;Healthy;B
283;6,718010439;-1,027907462;Intensity_1DLC012615QE_RRAG_015B_rep1;PXD012477;Non-Healthy;B
352;5,394319054;-1,464183889;Intensity_1DLC012615QE_RRAG_015B_rep2;PXD012477;Non-Healthy;B
320;5,872824355;-1,50888249;Intensity_1DLC012615QE_RRAG_015B_rep3;PXD012477;Non-Healthy;B
408;5,561355932;-1,365660777;Intensity_1DLC012615QE_RRAG_015B_rep4;PXD012477;Non-Healthy;B
492;6,683229274;-1,920067322;Intensity_1DLC012615QE_RRAG_016B_rep1;PXD012477;Non-Healthy;B
303;5,316802439;-2,012711282;Intensity_1DLC012615QE_RRAG_016B_rep2;PXD012477;Non-Healthy;B
212;5,441224835;-1,332862796;Intensity_1DLC012615QE_RRAG_016B_rep3;PXD012477;Non-Healthy;B
198;5,869897625;-1,092933469;Intensity_1DLC012615QE_RRAG_016B_rep4;PXD012477;Non-Healthy;B
122;-5,117088047;-0,977458952;Intensity_1DLC051815QE_RRAG_011B_rep1;PXD012477;Healthy;B
206;-4,783198305;-1,048660018;Intensity_1DLC051815QE_RRAG_011B_rep2;PXD012477;Healthy;B
281;-4,921967674;-0,798873857;Intensity_1DLC051815QE_RRAG_011B_rep3;PXD012477;Healthy;B
370;-4,990119953;-1,256779383;Intensity_1DLC051815QE_RRAG_011B_rep4;PXD012477;Healthy;B
402;-4,97105166;-1,519318566;Intensity_1DLC051815QE_RRAG_017B_rep1;PXD012477;Non-Healthy;B
259;-5,266391468;-2,037935485;Intensity_1DLC051815QE_RRAG_017B_rep2;PXD012477;Non-Healthy;B
166;-5,216484979;-1,898609232;Intensity_1DLC051815QE_RRAG_017B_rep3;PXD012477;Non-Healthy;B
403;-4,985644983;-1,805489645;Intensity_1DLC051815QE_RRAG_017B_rep4;PXD012477;Non-Healthy;B
