Column1;PC1;PC2;Unnamed: 0;Project;Treatment
76;7,29811372;1,037681155;Intensity_1DLC012615QE_RRAG_012B_rep2;PXD012477;Non-Healthy
77;-2,759989783;-1,380453085;Intensity_1DLC051815QE_RRAG_027B_rep3;PXD012477;Non-Healthy
78;-3,193497363;-0,978452472;Intensity_1DLC060615QE_RRAG_031B_rep1;PXD012477;Non-Healthy
79;6,665141903;-0,579421271;Intensity_1DLC122514QE_RRAG_044_rep2;PXD012477;Non-Healthy
80;7,496626079;0,059545533;Intensity_1DLC120314QE_RRAG_006_rep3;PXD012477;Healthy
81;6,922577563;0,222977153;Intensity_1DLC122914QE_RRAG_055_rep4;PXD012477;Non-Healthy
82;7,534689663;-0,399894292;Intensity_1DLC122214QE_RRAG_034_rep1;PXD012477;Healthy
83;-4,107146072;-1,08371171;Intensity_1DLC060615QE_RRAG_031B_rep4;PXD012477;Non-Healthy
84;-4,118329703;-0,467036157;Intensity_1DLC062715QE_RRAG_043B_rep3;PXD012477;Non-Healthy
85;5,021163333;-0,77765788;Intensity_1DLC123114QE_RRAG_064_rep1;PXD012477;Non-Healthy
86;6,402305262;0,716771597;Intensity_1DLC121914QE_RRAG_030_rep4;PXD012477;Non-Healthy
87;6,908005124;-0,823881939;Intensity_1DLC121514QE_RRAG_024_rep3;PXD012477;Healthy
88;6,249302276;-1,964221545;Intensity_1DLC012615QE_RRAG_006B_rep4;PXD012477;Healthy
89;-3,60194635;-1,330732954;Intensity_1DLC052815QE_RRAG_024B_rep2;PXD012477;Healthy
90;-4,552751406;-0,950681068;Intensity_1DLC070815QE_RRAG_049B_rep2;PXD012477;Non-Healthy
91;5,396322768;-1,16058971;Intensity_1DLC121914QE_RRAG_025_rep4;PXD012477;Healthy
92;-4,193014005;-0,020223428;Intensity_1DLC051815QE_RRAG_026B_rep2;PXD012477;Non-Healthy
93;7,613725859;-1,273470012;Intensity_1DLC012615QE_RRAG_002B_rep3;PXD012477;Non-Healthy
94;7,403430312;0,55313301;Intensity_1DLC122514QE_RRAG_041_rep1;PXD012477;Healthy
95;6,780645262;-0,628625401;Intensity_1DLC120314QE_RRAG_006_rep4;PXD012477;Healthy
96;-4,13049384;-1,298727233;Intensity_1DLC052815QE_RRAG_025B_rep2;PXD012477;Healthy
97;5,786046336;-0,788733252;Intensity_1DLC122214QE_RRAG_037_rep3;PXD012477;Healthy
98;6,21703629;-0,245936665;Intensity_1DLC121414QE_RRAG_013_rep2;PXD012477;Healthy
99;-3,755129275;-1,367292898;Intensity_1DLC051815QE_RRAG_019B_rep4;PXD012477;Healthy
100;-4,038875097;-0,815168037;Intensity_1DLC060615QE_RRAG_033B_rep2;PXD012477;Healthy
101;6,263881846;-0,341827011;Intensity_1DLC122914QE_RRAG_057_rep2;PXD012477;Healthy
102;-3,403146218;-0,858359915;Intensity_1DLC062715QE_RRAG_043B_rep1;PXD012477;Non-Healthy
103;4,986485515;-1,360056384;Intensity_1DLC122514QE_RRAG_052_rep1;PXD012477;Healthy
