,PC1,PC2,Unnamed: 0,Project
122,-5.117088047450212,-0.9774589452808361,Intensity_1DLC051815QE_RRAG_011B_rep1,PXD012477
123,-2.127887484893684,-1.2242461820204213,Intensity_1DLC062715QE_RRAG_047B_rep1,PXD012477
124,5.519334834546753,-0.41094157088069705,Intensity_1DLC122914QE_RRAG_057_rep3,PXD012477
125,6.347955619093275,-0.8335211060096122,Intensity_1DLC012615QE_RRAG_003B_rep1,PXD012477
126,-2.857135893537163,-0.9582132874367597,Intensity_1DLC051815QE_RRAG_019B_rep3,PXD012477
127,6.416033984537378,-1.3704782882075952,Intensity_1DLC012615QE_RRAG_005B_rep3,PXD012477
128,-2.2958270026237213,-1.1704647957087497,Intensity_1DLC071515QE_RRAG_061B_rep2,PXD012477
129,-3.2372998545915204,-1.3369856753438545,Intensity_1DLC051815QE_RRAG_023B_rep2,PXD012477
130,-1.6459863099937517,-1.2543795443421009,Intensity_1DLC071515QE_RRAG_058B_rep3,PXD012477
131,-3.5565827750757015,-1.5829098709790808,Intensity_1DLC051815QE_RRAG_023B_rep1,PXD012477
132,6.510350603914225,-0.8379350821745463,Intensity_1DLC122914QE_RRAG_056_rep3,PXD012477
133,7.230930328121204,-0.4138312026418629,Intensity_1DLC122514QE_RRAG_045_rep2,PXD012477
134,6.883247892452716,-0.8599410164373856,Intensity_1DLC120914QE_RRAG_009_rep4,PXD012477
135,6.051032863990223,-0.4623197294416516,Intensity_1DLC123114QE_RRAG_061_rep4,PXD012477
136,-2.0610982872475194,-1.6300719110485125,Intensity_1DLC062715QE_RRAG_047B_rep4,PXD012477
137,-2.916804952261112,-0.9300229608114797,Intensity_1DLC061715QE_RRAG_040B_rep1,PXD012477
138,-1.0680046902030844,-1.0749422507542903,Intensity_1DLC062715QE_RRAG_048B_rep4,PXD012477
139,7.426673955505854,-1.5860192336418346,Intensity_1DLC122214QE_RRAG_040_rep1,PXD012477
140,-2.8773468602871213,0.8101269704396307,Intensity_1DLC051815QE_RRAG_026B_rep4,PXD012477
141,6.963308190906592,0.5621075365957166,Intensity_1DLC121914QE_RRAG_030_rep2,PXD012477
