ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn20954136,ag_79_0003.raw,1,image/RAW,1513774731,3320325,1570811601001,3320223,1576681392313,syn21444980,https://www.synapse.org/#!Synapse:syn20954136.1,61f1572d58641e37e1b946931fae15d6,/home/robbe/.synapseCache/254/43862254/ag_79_0003.RAW,
syn20954159,ag_80_0226.raw,1,image/RAW,1410230872,3320325,1570811636610,3320223,1576681392879,syn21444980,https://www.synapse.org/#!Synapse:syn20954159.1,c5049a7208454c256df5f83c5c6621b0,/home/robbe/.synapseCache/293/43862293/ag_80_0226.RAW,
syn20954177,ag_81_0459.raw,1,image/RAW,1393685040,3320325,1570811663620,3320223,1576681393490,syn21444980,https://www.synapse.org/#!Synapse:syn20954177.1,5d729879f40fc337e12f9b7e6dc88f23,/home/robbe/.synapseCache/323/43862323/ag_81_0459.RAW,
syn20954190,ag_82_0619.raw,1,image/RAW,1395703350,3320325,1570811685709,3320223,1576681394041,syn21444980,https://www.synapse.org/#!Synapse:syn20954190.1,ebccd90556f350464863ebf62ab1fb5e,/home/robbe/.synapseCache/345/43862345/ag_82_0619.RAW,
syn20954206,ag_83_0628.raw,1,image/RAW,1391373893,3320325,1570811708205,3320223,1576681394626,syn21444980,https://www.synapse.org/#!Synapse:syn20954206.1,7e49699da5678209572af1f267a22215,/home/robbe/.synapseCache/368/43862368/ag_83_0628.RAW,
syn20954227,ag_84_0004.raw,1,image/RAW,1477162459,3320325,1570811742010,3320223,1576681395298,syn21444980,https://www.synapse.org/#!Synapse:syn20954227.1,9a3e794a2a26cffa21fe3536e5284b1a,/home/robbe/.synapseCache/398/43862398/ag_84_0004.RAW,
syn20954249,ag_85_0184.raw,1,image/RAW,1382851508,3320325,1570811777630,3320223,1576681396154,syn21444980,https://www.synapse.org/#!Synapse:syn20954249.1,f155562c8763f6e5f2cf37cfbff044a3,/home/robbe/.synapseCache/438/43862438/ag_85_0184.RAW,
syn20954264,ag_86_0460.raw,1,image/RAW,1416904693,3320325,1570811803932,3320223,1576681396944,syn21444980,https://www.synapse.org/#!Synapse:syn20954264.1,c5f71b678d11108475d18ae7b6089632,/home/robbe/.synapseCache/466/43862466/ag_86_0460.RAW,
syn20954281,ag_87_0550.raw,1,image/RAW,1415178605,3320325,1570811833133,3320223,1576681397546,syn21444980,https://www.synapse.org/#!Synapse:syn20954281.1,16f7526d018cd205e9caf72ec3f7f171,/home/robbe/.synapseCache/494/43862494/ag_87_0550.RAW,
syn20954298,ag_88_0569.raw,1,image/RAW,1396118594,3320325,1570811867441,3320223,1576681398090,syn21444980,https://www.synapse.org/#!Synapse:syn20954298.1,8cbe3e80f27572ec2b43e9f2e00c3f81,/home/robbe/.synapseCache/525/43862525/ag_88_0569.RAW,
